Bumper_Triggered,Current_Distance,Door_Passed
False,12.08,False
False,12.1,False
False,11.57,False
False,11.02,False
False,10.37,False
False,9.78,False
False,9.12,False
False,8.48,False
False,7.81,False
False,7.18,False
False,7.31,False
False,7.2,False
False,6.93,False
False,7.0,False
False,7.31,False
False,7.59,False
False,7.78,False
False,7.65,False
False,7.75,False
False,8.15,False
False,8.05,False
False,7.88,False
False,8.48,False
False,8.71,False
False,7.98,False
False,8.27,False
False,8.94,False
False,8.88,False
False,8.65,False
False,8.74,False
False,8.94,False
False,8.97,False
False,8.98,False
False,9.02,False
False,8.91,False
False,9.09,False
False,8.98,False
False,8.81,False
False,8.47,False
False,8.52,False
False,8.76,False
False,8.65,False
False,8.66,False
False,8.69,False
False,8.65,False
False,8.54,False
False,8.73,False
False,8.8,False
False,8.68,False
False,8.76,False
False,8.96,False
False,9.09,False
False,8.84,False
False,8.71,False
False,8.84,False
False,8.79,False
False,8.71,False
False,8.71,False
False,8.81,False
False,8.88,False
False,8.72,False
False,8.69,False
False,8.41,False
False,8.55,False
False,8.41,False
False,8.39,False
False,8.46,False
False,8.59,False
False,8.39,False
False,8.46,False
False,8.43,False
False,8.46,False
False,8.59,False
False,8.74,False
False,8.63,False
False,8.72,False
False,8.75,False
False,8.65,False
False,8.8,False
False,8.75,False
False,8.71,False
False,8.74,False
False,8.99,False
False,9.07,False
False,8.7,False
False,8.75,False
False,8.85,False
False,8.84,False
False,8.9,False
False,8.61,False
False,8.46,False
False,8.77,False
False,8.71,False
False,8.18,False
False,8.37,False
False,8.89,False
False,8.98,False
False,8.68,False
False,8.65,False
False,8.75,False
False,8.63,False
False,8.67,False
False,8.66,False
False,8.37,False
False,8.51,False
False,8.72,False
False,8.66,False
False,8.61,False
False,8.81,False
False,8.84,False
False,8.7,False
False,8.6,False
False,8.57,False
False,8.66,False
False,8.91,False
False,8.66,False
False,8.34,False
False,8.69,False
False,8.63,False
False,8.64,False
False,8.64,False
False,8.7,False
False,8.73,False
False,8.65,False
False,8.66,False
False,8.61,False
False,8.35,False
False,8.45,False
False,8.84,False
False,8.83,False
False,8.53,False
False,8.51,False
False,8.4,False
False,8.43,False
False,8.42,False
False,8.4,False
False,8.22,False
False,8.25,False
False,8.58,False
False,8.58,False
False,8.51,False
False,8.47,False
False,8.43,False
False,8.05,False
False,7.93,False
False,8.24,False
False,8.54,False
False,8.35,False
False,8.25,False
False,8.32,False
False,8.46,False
False,8.59,False
False,12.44,True
False,12.34,True
False,11.27,True
False,10.66,True
False,10.24,True
False,9.78,True
False,8.94,True
False,6.05,True
False,7.41,True
False,13.33,True
False,13.33,True
False,13.33,True
False,13.32,True
False,13.06,True
False,12.8,True
False,12.26,True
False,8.42,True
False,7.95,True
False,12.17,True
False,11.86,True
False,0.82,True
False,-3.09,True
False,11.16,True
False,12.36,True
False,9.08,True
False,-12.19,True
False,0.58,True
False,10.39,True
False,-10.49,True
False,-12.6,True
False,-12.11,True
False,10.36,True
False,13.15,True
False,10.73,True
False,4.8,True
False,9.69,True
False,12.75,True
False,7.34,True
False,-12.49,True
False,3.83,True
False,12.03,True
False,6.75,True
False,-12.43,True
False,8.31,True
False,12.98,True
False,8.47,True
False,-12.41,True
False,10.11,True
False,13.01,True
False,9.59,True
False,-4.49,True
False,11.19,True
True,10.05,True
True,11.14,True
True,11.24,True
True,-2.84,True
True,12.99,True
True,11.45,False
True,12.87,True
True,12.73,True
True,12.73,True
False,12.71,True
False,12.71,True
False,12.72,True
False,12.71,True
False,12.71,True
False,12.72,True
False,12.72,True
False,12.72,True
False,12.72,True
False,10.67,False
False,9.9,False
False,6.33,False
False,6.28,False
False,10.35,False
False,10.58,False
False,6.83,False
False,5.94,False
False,9.9,False
False,11.15,False
False,7.12,False
False,4.9,False
False,9.47,False
False,11.98,False
False,9.4,False
False,6.19,False
False,8.33,False
False,10.88,False
False,8.74,False
False,4.52,False
False,5.96,False
False,10.38,False
False,9.21,False
False,5.07,False
False,6.55,False
False,10.94,False
False,9.95,False
False,5.66,False
False,5.76,False
False,10.15,False
False,10.58,False
False,6.18,False
False,5.44,False
False,10.16,False
False,11.2,False
False,7.41,False
False,6.01,False
False,10.44,False
False,12.23,False
False,9.18,False
False,5.4,False
False,8.8,False
False,12.31,False
False,10.06,False
False,6.8,False
False,8.7,False
False,11.51,False
False,10.35,False
False,7.37,False
False,8.0,False
False,11.62,False
False,11.08,False
False,7.76,False
False,7.62,False
False,10.75,False
False,10.45,False
False,7.38,False
False,7.74,False
False,11.34,False
False,11.07,False
False,7.78,False
False,7.76,False
False,10.79,False
False,10.58,False
False,7.0,False
False,6.97,False
False,10.79,False
False,10.58,False
False,7.0,False
False,6.86,False
False,10.69,False
False,11.02,False
False,8.22,False
False,6.82,False
False,9.98,False
False,11.01,False
False,8.27,False
False,6.7,False
False,10.11,False
False,10.93,False
False,7.78,False
True,7.87,False
True,10.47,False
True,4.86,False
True,10.69,False
True,10.86,False
True,10.87,False
True,10.88,False
